cell_id,building_id,area_m2_urbis,terrain_elevation_m_p50,confidence,pixel_count_valid,pixel_count_plausible,plausible_fraction_of_valid,height_p50_m,height_p75_m,height_p90_m,negative_below_noise_count,over_250m_count
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1707426,61,0.0,high,244,244,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1617867,62,0.0,high,251,251,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1705094,94,0.0,high,375,375,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1708789,107,0.0,high,427,427,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1702730,78,0.0,high,312,312,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1699195,118,0.0,high,471,471,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1696928,147,0.0,high,582,582,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1742078,111,0.0,high,450,450,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1739286,71,0.0,high,281,281,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1709758,93,0.0,high,370,370,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1694721,54,0.0,high,216,216,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1705029,118,0.0,high,484,484,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1693667,87,0.0,high,343,343,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1707371,90,0.0,high,359,359,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1736566,50,0.0,high,199,199,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1707384,80,0.0,high,308,308,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1737884,169,0.0,high,678,678,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1706281,64,0.0,high,258,258,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1736559,33,0.0,high,133,133,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1618967,665,0.0,high,2661,2661,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1632030,120,0.0,high,481,481,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1630868,120,0.0,high,478,478,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1632008,315,0.0,high,1261,1261,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1710983,641,0.0,high,2566,2566,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1706241,52,0.0,high,210,210,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1704044,104,0.0,high,413,413,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1621370,353,0.0,high,1415,1415,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1701527,236,0.0,high,944,944,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1699377,388,0.0,high,1553,1553,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1620128,94,0.0,high,378,378,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1694703,103,0.0,high,414,414,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1631957,165,0.0,high,659,659,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1695940,194,0.0,high,774,774,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1628467,111,0.0,high,445,445,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1709766,91,0.0,high,364,364,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1693466,116,0.0,high,468,468,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1702706,131,0.0,high,525,525,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1700376,129,0.0,high,515,515,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1705052,176,0.0,high,702,702,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1695901,105,0.0,high,416,416,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1711140,136,0.0,high,546,546,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1702700,105,0.0,high,419,419,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1706431,134,0.0,high,536,536,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1809463,20,0.0,high,81,81,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1694628,27,0.0,high,106,106,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1705025,89,0.0,high,359,359,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1628484,92,0.0,high,367,367,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1739288,72,0.0,high,289,289,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1708788,107,0.0,high,428,428,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1706257,60,0.0,high,240,240,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1706245,74,0.0,high,296,296,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1709926,67,0.0,high,271,271,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1694644,79,0.0,high,320,320,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1710920,76,0.0,high,304,304,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1695796,109,0.0,high,434,434,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1700394,155,0.0,high,623,623,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1798588,5,0.0,medium,19,19,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1703929,93,0.0,high,374,374,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1708615,81,0.0,high,324,324,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1708650,94,0.0,high,375,375,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1698053,98,0.0,high,394,394,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1695726,73,0.0,high,291,291,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1709765,63,0.0,high,255,255,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1707622,38,0.0,high,152,152,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1702631,68,0.0,high,273,273,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1710936,97,0.0,high,388,388,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1632032,120,0.0,high,483,483,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1701571,108,0.0,high,435,435,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1700399,90,0.0,high,359,359,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1693605,106,0.0,high,422,422,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1710930,97,0.0,high,391,391,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1708786,107,0.0,high,427,427,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1702739,114,0.0,high,454,454,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1707347,112,0.0,high,450,450,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1711135,136,0.0,high,545,545,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1696932,215,0.0,high,864,864,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1705049,219,0.0,high,877,877,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1704055,104,0.0,high,418,418,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1696960,126,0.0,high,502,502,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1702692,102,0.0,high,407,407,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1694702,103,0.0,high,410,410,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1633132,963,0.0,high,3848,3848,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1707435,184,0.0,high,734,734,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1694660,96,0.0,high,384,384,1.0,0.0,0.0,0.0,0,0
